dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
Breast Cancer (low redundancy),L1,4,2486,1.0,0.951048951048951,87,4,49,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,4,2486,1.0,0.951048951048951,87,4,49,3,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,5,8047,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,5,8047,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,5,8047,1.0,0.972027972027972,89,3,50,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,5,8047,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,5,8047,1.0,0.958041958041958,86,2,51,4,2,30,9,None,0.8,0.25,3.0
Breast Cancer (low redundancy),Baseline,6,3510,1.0,0.9370629370629371,85,4,49,5,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,6,3510,1.0,0.9370629370629371,85,4,49,5,2,30,30,,,,
Breast Cancer (low redundancy),RFE,6,3510,1.0,0.9370629370629371,85,4,49,5,2,30,30,,,,
Breast Cancer (low redundancy),L1,6,3510,1.0,0.9230769230769231,85,6,47,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,6,3510,1.0,0.9440559440559441,85,3,50,5,2,30,9,None,0.8,0.25,2.0
Breast Cancer (low redundancy),Baseline,7,9139,1.0,0.986013986013986,90,2,51,0,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,7,9139,1.0,0.986013986013986,90,2,51,0,2,30,30,,,,
Breast Cancer (low redundancy),RFE,7,9139,1.0,0.986013986013986,90,2,51,0,2,30,30,,,,
Breast Cancer (low redundancy),L1,7,9139,1.0,0.9790209790209791,90,3,50,0,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,7,9139,1.0,0.986013986013986,90,2,51,0,2,30,7,None,0.8,0.25,2.0
Breast Cancer (low redundancy),Baseline,8,5262,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,8,5262,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,8,5262,1.0,0.972027972027972,87,1,52,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,8,5262,1.0,0.9370629370629371,85,4,49,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,8,5262,1.0,0.951048951048951,86,3,50,4,2,30,8,None,0.8,0.25,2.0
Breast Cancer (low redundancy),Baseline,9,8795,1.0,0.9440559440559441,90,8,45,0,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,9,8795,1.0,0.9440559440559441,90,8,45,0,2,30,30,,,,
Breast Cancer (low redundancy),RFE,9,8795,1.0,0.9440559440559441,90,8,45,0,2,30,30,,,,
Breast Cancer (low redundancy),L1,9,8795,1.0,0.9300699300699301,89,9,44,1,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,9,8795,1.0,0.9230769230769231,89,10,43,1,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,10,5661,1.0,0.965034965034965,87,2,51,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,10,5661,1.0,0.965034965034965,87,2,51,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,10,5661,1.0,0.965034965034965,87,2,51,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,10,5661,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,10,5661,1.0,0.951048951048951,86,3,50,4,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,11,3996,1.0,0.9440559440559441,85,3,50,5,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,11,3996,1.0,0.9440559440559441,85,3,50,5,2,30,30,,,,
Breast Cancer (low redundancy),RFE,11,3996,1.0,0.9440559440559441,85,3,50,5,2,30,30,,,,
Breast Cancer (low redundancy),L1,11,3996,1.0,0.951048951048951,86,3,50,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,11,3996,1.0,0.951048951048951,86,3,50,4,2,30,11,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,12,7914,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,12,7914,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),RFE,12,7914,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),L1,12,7914,1.0,0.9230769230769231,84,5,48,6,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,12,7914,1.0,0.9440559440559441,87,5,48,3,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,13,2065,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,13,2065,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),RFE,13,2065,1.0,0.9440559440559441,86,4,49,4,2,30,30,,,,
Breast Cancer (low redundancy),L1,13,2065,1.0,0.9370629370629371,85,4,49,5,2,30,30,,,,
